category,description,item_type,uom,unit_cost,sample_count,source
Fire Place,Install Fireplace and flu,Sub,each,1755.0,1,Benecia 2022-23 x1.17
Fire Place,LOPI 564 CF Trim 10mm 13-22mm wall,Mat,each,313.77,1,Benecia 2022-23 x1.17
Fire Place,Lopi 564 CF 25K & 31K Black Glass Liner,Mat,each,622.23,1,Benecia 2022-23 x1.17
Fire Place,Lopi 564CF 25K & 35K Classic Oak Logs,Mat,each,613.72,1,Benecia 2022-23 x1.17
Fire Place,PS Fireplace,Lab,each,10400.0,1,Carberry 2025 x1.04
Fire Place,QUOTE 22-00000319,Mat,Ea,9309.34,1,Benecia 2022-23 x1.17
Fire Place,Supply fireplace and flu. LOPI Clean Face 25k GS2 Gas Fire,Mat,each,6010.99,1,Benecia 2022-23 x1.17
First Floor Framing,1RB1 200X50 F17 HWD CCA TREATED,Mat,lm,329.03,1,Constitution 2024-25 x1.10
First Floor Framing,1RB2 300X63 LVL 13,Mat,lm,63.86,1,Constitution 2024-25 x1.10
First Floor Framing,70 X 35 MGP12 FRAMING,Mat,ea,4.67,1,Benecia 2022-23 x1.17
First Floor Framing,"90 x 35 MGP 12 bottom plates, nogging (90 x 35 MGP 12 bottom plates, nogging)",Mat,lm,183.68,1,Hilda 2021-22 x1.29
First Floor Framing,90 x 35 MGP 12 studs 2.7m,Mat,lm,570.13,3,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
First Floor Framing,90 x 35 MGP 12 top plates x 2,Mat,lm,333.29,3,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
First Floor Framing,Beam specified by the engineer.  BEAM 17C GLUE LAM 230 X 65 H2 STRUCT PINE MEGABEAM,Mat,lm,124.27,1,Benecia 2022-23 x1.17
First Floor Framing,"Bedroom 3. prepare frame, supply and install cavity slider. Door and hardware included in PC sums",MatLab,Allowance,82.5,1,Constitution 2024-25 x1.10
First Floor Framing,Bracing ply 4mm 3m. 1200mm,Mat,ea,3469.73,1,Constitution 2024-25 x1.10
First Floor Framing,"Bracing ply 4mm 3m. 21 x 900, 4 x 1200",Mat,each,79.22,1,Hilda 2021-22 x1.29
First Floor Framing,"Bracing ply 4mm 3m. 3 x 900, 4 x 1200",Mat,each,352.29,1,Benecia 2022-23 x1.17
First Floor Framing,Build and install beams and lintels,Lab,Hour,83.85,1,Hilda 2021-22 x1.29
First Floor Framing,Build and install beams and roof frame,Lab,Hour,73.51,1,Benecia 2022-23 x1.17
First Floor Framing,Build and install upper level wall frames,Lab,Hour,76.05,3,Benecia 2022-23 x1.17; Constitution 2024-25 x1.10; Hilda 2021-22 x1.29
First Floor Framing,"Build new TV wall frame and sheet in plasterboard, set and sand",MatLab,Allowance,114.91,1,Constitution 2024-25 x1.10
First Floor Framing,Carpentry Labour for pick up and deliver from hardware store and installation for two,Mat,Hour,76.05,1,Benecia 2022-23 x1.17
First Floor Framing,Carpentry labour to frame up,Lab,Hour,82.5,1,Constitution 2024-25 x1.10
First Floor Framing,"Fixings, threaded rod, nuts, bolts, nails, screws, Chemset",Mat,Allowance,90.84,4,Benecia 2022-23 x1.17; Constitution 2024-25 x1.10; Hilda 2021-22 x1.29
First Floor Framing,Install timber fascia,Lab,Hour,76.05,1,Benecia 2022-23 x1.17
First Floor Framing,L1 90 X 35 MGP12,Mat,lm,6.0,1,Constitution 2024-25 x1.10
First Floor Framing,L1 90 x 45 MGP 12 Lintel,Mat,lm,8.33,1,Benecia 2022-23 x1.17
First Floor Framing,"L1, 2 X 90 X 45. MGP 12. 2 @ 4.8M",Mat,lm,45.15,1,Hilda 2021-22 x1.29
First Floor Framing,L2 140X35 F27,Mat,lm,121.65,1,Constitution 2024-25 x1.10
First Floor Framing,L3 200X63 LVL 13,Mat,lm,42.59,1,Constitution 2024-25 x1.10
First Floor Framing,L3. 150 X 42 SMART LVL 15. 1 @ 4.8M,Mat,lm,34.83,1,Hilda 2021-22 x1.29
First Floor Framing,L4 170 X 42 SMART LVL 15. 1 @ 2.4M,Mat,lm,45.15,1,Hilda 2021-22 x1.29
First Floor Framing,L4 190 x 45 MGP 12 Lintel x 2 3.6m,Mat,lm,28.38,1,Benecia 2022-23 x1.17
First Floor Framing,L4 360X85 GL15C,Mat,lm,243.54,1,Constitution 2024-25 x1.10
First Floor Framing,L5 300 x 45 LVL 13 Lintel,Mat,lm,42.56,1,Benecia 2022-23 x1.17
First Floor Framing,L5. 200 X 42 SMART LVL 15. 1 @ 3.6M,Mat,lm,67.08,1,Hilda 2021-22 x1.29
First Floor Framing,MGP10 70 X 35 T2 FRAMING,Mat,lm,9.32,1,Benecia 2022-23 x1.17
First Floor Framing,Materials change and labour reduction,MatLab,ea,1709.09,1,Benecia 2022-23 x1.17
First Floor Framing,Miscellaneous framing and blocking timbers  as required,Mat,Allowance,2483.1,1,Hilda 2021-22 x1.29
First Floor Framing,Nails (Junctions and Jambs 3m 90 x 45 MGP 12),Mat,each,0.02,1,Constitution 2024-25 x1.10
First Floor Framing,PINE BATTEN F/J 42X35,Mat,Ea,2.84,1,Benecia 2022-23 x1.17
First Floor Framing,PINE FJ FASCIA PRIMED H3 230 x 31mm,Mat,lm,112.87,1,Benecia 2022-23 x1.17
First Floor Framing,"RB1 240 x 45 LVL 13, Roof Beam",Mat,lm,34.06,1,Benecia 2022-23 x1.17
First Floor Framing,RB1. 200 X 63 SMART LVL 15.,Mat,lm,109.65,1,Hilda 2021-22 x1.29
First Floor Framing,"RB2 240 x 63 LVL 13, Roof Beam",Mat,lm,48.29,1,Benecia 2022-23 x1.17
First Floor Framing,RB2. 230 X 65 HYNE TIMBER BEAM 17 GLT CAMBERED,Mat,lm,141.9,1,Hilda 2021-22 x1.29
First Floor Framing,"RB3 195 x 65 BEAM 17C, Roof Beam",Mat,lm,105.45,1,Benecia 2022-23 x1.17
First Floor Framing,"RB4 230 x 65 BEAM 17C, Roof Beam",Mat,lm,124.65,1,Benecia 2022-23 x1.17
First Floor Framing,"RB5 295 x 85 BEAM 17C, Roof Beam",Mat,lm,186.61,1,Benecia 2022-23 x1.17
First Floor Framing,RIBBON PLATE (LOADBEARING 90x45 MGP12 with 3m STUDS - FRAMING RECIPE),Mat,lm,9.35,1,Constitution 2024-25 x1.10
First Floor Framing,"Roof frame, front deck pergola frame, Wesbeam system",Mat,Allowance,1328.44,1,Benecia 2022-23 x1.17
First Floor Framing,"Roof frame, trusses",Mat,m2,9393.93,1,Benecia 2022-23 x1.17
First Floor Framing,Skylight Labour,Lab,ea,67.9,1,Constitution 2024-25 x1.10
First Floor Framing,Studs (Junctions and Jambs 3m 90 x 45 MGP 12),Mat,each,84.15,1,Constitution 2024-25 x1.10
First Floor Framing,Supply and install cavity slider units 2x single 1x double,MatLab,Allowance,269.7,1,Constitution 2024-25 x1.10
First Floor Framing,"Timber, materials, consumables",Mat,Allowance,187.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Allowance for fixings, glues",Mat,Allowance,41.12,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Architrave (1 x Cavity sliding unit, Ground level)",Mat,Ea,63.81,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Architrave (Cavity sliding units,)",Mat,Ea,332.12,1,Hilda 2021-22 x1.29
Fixing Carpentry,Architrave (New Internal Doorways Caprice CAP),Mat,Ea,225.38,1,Benecia 2022-23 x1.17
Fixing Carpentry,Architrave (New Internal Doorways. Doors to be confirmed),Mat,Ea,4926.99,1,Hilda 2021-22 x1.29
Fixing Carpentry,Architrave 18mm thick. To be confirmed,Mat,lm,65.57,1,Hilda 2021-22 x1.29
Fixing Carpentry,Architrave 68x18 BR Rounded (Lower level doorways),Mat,Length,33.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Architrave 93x18 BR Rounded (Upper level doorways),Mat,Length,33.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Architrave SK451 18mm thickness Height 90 WINDOWS AND EXTERNAL DOORS,Mat,lm,11.82,1,Benecia 2022-23 x1.17
Fixing Carpentry,Carpentry Labour (New Internal Doorways Caprice CAP),Mat,Ea,70.2,1,Benecia 2022-23 x1.17
Fixing Carpentry,Carpentry Labour (New Internal Doorways. Doors to be confirmed),Mat,Ea,77.4,1,Hilda 2021-22 x1.29
Fixing Carpentry,Delete labour allowance for sliding door D02,MatLab,Ea,686.68,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Door Jamb 112mm x 18mm (1 x Cavity sliding unit, Ground level)",Mat,Ea,23.4,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Door Jamb 112mm x 18mm (Cavity sliding units,)",Mat,Ea,25.8,1,Hilda 2021-22 x1.29
Fixing Carpentry,Door keeper (New Internal Doorways Caprice CAP),Mat,Ea,25.74,1,Benecia 2022-23 x1.17
Fixing Carpentry,Door keeper (New Internal Doorways. Doors to be confirmed),Mat,Ea,28.38,2,Hilda 2021-22 x1.29
Fixing Carpentry,"Door, Hume Caprice (New Internal Doorways Caprice CAP)",Mat,Ea,80.73,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Door, Hume Caprice (New Internal Doorways. Doors to be confirmed)",Mat,Ea,89.01,1,Hilda 2021-22 x1.29
Fixing Carpentry,FIX OUT HARDWARE AND MATERIALS,Mat,Ea,4792.36,1,Benecia 2022-23 x1.17
Fixing Carpentry,FRONT DOOR,Mat,ea,890.13,1,Hilda 2021-22 x1.29
Fixing Carpentry,Fit off 3x door handles and 3x flush bolts to French doors and single hinged door. Supply and install stick-on fur weatherstrips to sunroom doors.,MatLab,Allowance,82.5,1,Constitution 2024-25 x1.10
Fixing Carpentry,Fit off bathroom and fixtures,Mat,Hour,77.03,2,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
Fixing Carpentry,Fixing Carpentry Labour,Lab,Hour,78.69,2,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
Fixing Carpentry,Fixing Carpentry and fit off Labour,Lab,Hour,70.92,1,Constitution 2024-25 x1.10
Fixing Carpentry,Fixing Hardware,Mat,Ea,116.32,2,Benecia 2022-23 x1.17; Hilda 2021-22 x1.29
Fixing Carpentry,"Fixing and lockup hardware, including hinges, door locks, door stops, window locks, latches",Mat,Allowance,3300.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,French Door Magnetic Door Keepers,Mat,each,380.25,1,Benecia 2022-23 x1.17
Fixing Carpentry,GAINSBOROUGH LATCH 70mm BACKSET - BRIGHT CHROME (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,19.78,1,Benecia 2022-23 x1.17
Fixing Carpentry,"HUME EVOLUTION CAVITY UNIT 90mm - 2040 x 820mm (1 x Cavity sliding unit, Ground level)",Mat,Ea,208.38,1,Benecia 2022-23 x1.17
Fixing Carpentry,"HUME EVOLUTION CAVITY UNIT 90mm - 2040 x 820mm (Cavity sliding units,)",Mat,Ea,229.75,1,Hilda 2021-22 x1.29
Fixing Carpentry,Heated Towel Rail,Mat,Allowance,770.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Hinges (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,8.77,1,Benecia 2022-23 x1.17
Fixing Carpentry,Hume Caprice woodgrain,Mat,Ea,81.26,1,Benecia 2022-23 x1.17
Fixing Carpentry,Hume Hayman Smooth,Mat,Ea,98.07,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Hume Internal Door Caprice CAP (1 x Cavity sliding unit, Ground level)",Mat,Ea,87.75,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Hume Internal Door Caprice CAP (Cavity sliding units,)",Mat,Ea,96.75,1,Hilda 2021-22 x1.29
Fixing Carpentry,Hume Internal Door Caprice CAP (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,87.75,1,Benecia 2022-23 x1.17
Fixing Carpentry,Install timber cornice to all upper level rooms except sunroom and ens 2,Lab,Hour,79.49,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Installation of 90 x 42mm timbers for decorative raked ceiling in level 1 living ""EXPOSED RAFTER LOOK"" approximately 1m apart with hip and ridge",Lab,hour,74.81,1,Benecia 2022-23 x1.17
Fixing Carpentry,Installing hose reels,Lab,Allowance,76.05,1,Benecia 2022-23 x1.17
Fixing Carpentry,Internal window sill,Mat,lm,13.2,1,Constitution 2024-25 x1.10
Fixing Carpentry,JAMBSET 112mm - 2040 x 520-870mm 2 HINGE (New Internal Doorways Caprice CAP),Mat,Ea,86.58,1,Benecia 2022-23 x1.17
Fixing Carpentry,JAMBSET 112mm - 2040 x 520-870mm 2 HINGE (New Internal Doorways. Doors to be confirmed),Mat,Ea,261.92,1,Hilda 2021-22 x1.29
Fixing Carpentry,Jamb 112x18 DAR (Lower level doorways),Mat,Length,33.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Jamb 112x18 DAR Pine (Upper level doorways),Mat,Length,33.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Labour (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,70.2,1,Benecia 2022-23 x1.17
Fixing Carpentry,Labour to install (Lower level doorways),Mat,Hour,82.5,1,Constitution 2024-25 x1.10
Fixing Carpentry,Labour to install (Upper level doorways),Mat,Hour,82.5,1,Constitution 2024-25 x1.10
Fixing Carpentry,Labour to install Architrave,Lab,ea,72.35,1,Constitution 2024-25 x1.10
Fixing Carpentry,Labour to install Skirting,Lab,ea,64.44,1,Constitution 2024-25 x1.10
Fixing Carpentry,Lever set (New Internal Doorways Caprice CAP),Mat,Ea,146.25,1,Benecia 2022-23 x1.17
Fixing Carpentry,Lever set (New Internal Doorways. Doors to be confirmed),Mat,Ea,83.85,2,Hilda 2021-22 x1.29
Fixing Carpentry,Locksmith services,Mat,Ea,95.73,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Master bed French door lever handle and hinges. 4 x hinges, 1 x DOOR LEVER REIMS CHROME, rebate kit, mortice lock, Scope euro cylinder",Mat,Allowance,296.49,1,Benecia 2022-23 x1.17
Fixing Carpentry,"New window casement fasteners and barrel bolts. 16 x Tear drop casement fasteners, 4 x offset barrel bolts, 20 pairs of casement friction sliders for 20 casement windows",Mat,Allowance,1029.44,1,Benecia 2022-23 x1.17
Fixing Carpentry,Plinth block  (Lower level doorways),Mat,Ea,2.2,1,Constitution 2024-25 x1.10
Fixing Carpentry,Plinth blocks (Upper level doorways),Mat,Ea,2.2,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Remove existing door furniture to French Door in master bedroom, patch up old holes and replace with new as per specification. Labour",Lab,Hour,76.05,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Remove existing window furniture to existing windows, patch up old holes and replace with new friction sliders, Casement fastener tear drop long throw and barrel bolts. Labour",Lab,Hour,76.05,1,Benecia 2022-23 x1.17
Fixing Carpentry,Replace glass Payne in bed 2 casement window. materials and labour,MatLab,Ea,173.16,1,Benecia 2022-23 x1.17
Fixing Carpentry,Replace study doors with solicore hinged doors with “U” inlay moulds on front and rearrange shelving inside cupboard.,MatLab,Allowance,58.44,1,Constitution 2024-25 x1.10
Fixing Carpentry,Robe Hook,Mat,Allowance,66.0,2,Constitution 2024-25 x1.10
Fixing Carpentry,"SCHLAGE SLIDING DOOR SET RND SATIN CHROME - PRIVACY (1 x Cavity sliding unit, Ground level)",Mat,Ea,93.6,1,Benecia 2022-23 x1.17
Fixing Carpentry,"SCHLAGE SLIDING DOOR SET RND SATIN CHROME - PRIVACY (Cavity sliding units,)",Mat,Ea,103.2,2,Hilda 2021-22 x1.29
Fixing Carpentry,Skirting 18mm thick. To be confirmed,Mat,lm,108.75,1,Hilda 2021-22 x1.29
Fixing Carpentry,Skirting Interim SK451 18mm thickness Height 135 UPPER (EXCLUDING EXISTING BEDROOMS AND BATHROOMS) AND LOWER,Mat,lm,11.82,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Skirting Upper and Lower. 140 x 19mm, Finlayson's Type G.",Mat,lm,13.2,1,Constitution 2024-25 x1.10
Fixing Carpentry,Stops 42x11 (Lower level doorways),Mat,Length,8.8,1,Constitution 2024-25 x1.10
Fixing Carpentry,Stops 42x11 (Upper level doorways),Mat,Length,8.8,1,Constitution 2024-25 x1.10
Fixing Carpentry,Supply and install AM-BOSS Access-boss model 3020 roof access with foldout ladder and handrail,MatLab,Allowance,1982.97,2,Constitution 2024-25 x1.10
Fixing Carpentry,Supply and install Archway 1,Mat,Allowance,525.8,1,Constitution 2024-25 x1.10
Fixing Carpentry,Supply and install Archway 2,Mat,Allowance,426.8,1,Constitution 2024-25 x1.10
Fixing Carpentry,Supply and install Archway 3,Mat,Allowance,426.8,1,Constitution 2024-25 x1.10
Fixing Carpentry,Supply and install decorative mouldings above 6x doorways in master suite,MatLab,Allowance,82.5,1,Constitution 2024-25 x1.10
Fixing Carpentry,"Supply and install new handle to master bedroom French Doors, Remove supply and install new window fixtures to the existing windows",MatLab,ea,264.29,1,Benecia 2022-23 x1.17
Fixing Carpentry,Supply timber cornice to all upper level rooms except sunroom and ens 2,Mat,lm,1386.29,1,Constitution 2024-25 x1.10
Fixing Carpentry,TRADCO REIMS LEVER ON LONG BACKPLATE (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,146.25,1,Benecia 2022-23 x1.17
Fixing Carpentry,"Timber for decorative raked ceiling in level 1 living ""EXPOSED RAFTER LOOK"" rafter size 90 x 42mm",Mat,each,81.09,1,Benecia 2022-23 x1.17
Fixing Carpentry,Toilet Roll Holder,Mat,Allowance,82.5,5,Constitution 2024-25 x1.10
Fixing Carpentry,Towel Ring,Mat,Allowance,82.5,5,Constitution 2024-25 x1.10
Fixing Carpentry,Towel rail,Mat,Allowance,55.0,3,Constitution 2024-25 x1.10
Fixing Carpentry,Tradco Magnetic Wall Mounted Door Stop - 93mm (Replace 6 existing doors to Hume Internal Door Caprice CAP),Mat,Ea,25.74,1,Benecia 2022-23 x1.17
Fixing Carpentry,Upper ceiling feature mouldings 42x11,Mat,lm,2.2,1,Constitution 2024-25 x1.10
Fixing Carpentry,Use recycled timber for exposed rafter ceiling,Mat,Allowance,315.9,1,Benecia 2022-23 x1.17
Fixing Carpentry,Wainscoting for powder room,Mat,Allowance,55.0,1,Constitution 2024-25 x1.10
Fixing Carpentry,Wide throw hinge  (Lower level doorways),Mat,Ea,92.51,1,Constitution 2024-25 x1.10
Fixing Carpentry,Wide throw hinge  (Upper level doorways),Mat,Ea,32.19,1,Constitution 2024-25 x1.10
Fixing Carpentry,Window architrave lower interior. 68x19 Finlayson's Type BR rounded,Mat,lm,9.9,1,Constitution 2024-25 x1.10
Fixing Carpentry,Window architrave upper interior. 93x19 Finlayson's Type BR rounded. To all internal windows and doors,Mat,lm,9.9,1,Constitution 2024-25 x1.10
Fixing Carpentry,latch (New Internal Doorways Caprice CAP),Mat,Ea,11.7,1,Benecia 2022-23 x1.17
Fixing Carpentry,latch (New Internal Doorways. Doors to be confirmed),Mat,Ea,12.9,2,Hilda 2021-22 x1.29
Fixtures & Fitting's,All Plumbing PC Items,Mat,ea,4468.66,1,Constitution 2024-25 x1.10
Fixtures & Fitting's,Butler 600 Single Bowl Sink White,Mat,Ea,1139.15,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Caroma Luna CF WF CC Bk/En Scs T/S Wh(4*,Mat,Ea,639.59,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Double sink,Mat,Ea,9377.33,2,Constitution 2024-25 x1.10
Fixtures & Fitting's,Free Standing Bath,Mat,Ea,1650.0,1,Constitution 2024-25 x1.10
Fixtures & Fitting's,Kado Lussi Thin Edge F/S Bath W P&W 1700,Mat,Ea,3394.49,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Laufen Pro A W/Basin W/Fix 850 SUPPLIED BY CLIENT,Mat,Ea,1.17,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Laufen Pro A Wall Basin Frame 850 SUPPLIED BY CLIENT,Mat,Ea,1.17,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Mixer,Mat,Ea,220.0,5,Constitution 2024-25 x1.10
Fixtures & Fitting's,Mizu Drift Bottle Trap W Remov Base CP,Mat,each,101.02,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Oliveri Prof Pr1130u SS U/Mnt Sngle Bowl,Mat,Ea,933.04,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,P&W Basin Pop Down 40mm CP,Mat,each,45.88,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,"Prime cost allowance for all taps, toilets, fixtures and fittings, deliveries",Mat,Allowance,15480.0,2,Hilda 2021-22 x1.29
Fixtures & Fitting's,Shwr Rose & Rail,Mat,each,330.0,4,Constitution 2024-25 x1.10
Fixtures & Fitting's,Silicone and tape,Mat,ea,9.14,1,Constitution 2024-25 x1.10
Fixtures & Fitting's,Tap Set,Mat,each,220.0,2,Constitution 2024-25 x1.10
Fixtures & Fitting's,Tapset,Mat,Ea,220.0,3,Constitution 2024-25 x1.10
Fixtures & Fitting's,Tapset U/Bench,Mat,Ea,66.0,2,Constitution 2024-25 x1.10
Fixtures & Fitting's,Tapset behind Fridge/Freezer,Mat,Ea,66.0,1,Constitution 2024-25 x1.10
Fixtures & Fitting's,Toilet,Mat,each,660.0,5,Constitution 2024-25 x1.10
Fixtures & Fitting's,Vanity Basin,Mat,Ea,330.0,5,Constitution 2024-25 x1.10
Fixtures & Fitting's,WALL MOUNTED TOILET BRUSH HOLDER,Mat,each,314.84,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW BASIN MIXER WITH SWIVEL SPOUT,Mat,Ea,758.37,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW DOUBLE TOWEL RAIL 900MM,Mat,Ea,488.19,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW EXPOSED SHOWER SET WITH 150MM,Mat,Ea,1879.44,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW KITCHEN MIXER WITH SWIVEL SPOUT,Mat,Ea,849.84,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW SINGLE TOWEL RAIL 900MM,Mat,Ea,316.95,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW TOILET ROLL HOLDER,Mat,each,147.84,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW WALL SET WITH 230MM SPOUT,Mat,Ea,522.24,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,WINSLOW WALL SET WITH JUMPER VALVE CROSS,Mat,Ea,874.29,2,Benecia 2022-23 x1.17
Fixtures & Fitting's,Wall Mixer,Mat,Ea,330.0,2,Constitution 2024-25 x1.10
Floor Coverings,"Drum sand existing timber flooring to sunroom, master bed inc WIR, formal living, library & bed 2, inc robe & bed 3 inc robe on upper level",Sub,m2,129.39,1,Constitution 2024-25 x1.10
Floor Coverings,Extra 5% flooring,Mat,Allowance,523.6,1,Constitution 2024-25 x1.10
Floor Coverings,Install Ramboard and other protective coatings,Lab,ea,58.05,1,Hilda 2021-22 x1.29
Floor Coverings,Install Ramboard and other protective surfaces,Mat,ea,72.54,1,Benecia 2022-23 x1.17
Floor Coverings,"Pressure clean, Apply concrete colour seal to the garage floor, similar to the existing finish",Sub,Allowance,1848.0,1,Constitution 2024-25 x1.10
Floor Coverings,Sand and polish upper and lower flooring,Sub,Allowance,11493.9,1,Hilda 2021-22 x1.29
Floor Coverings,"Sealing of stone tiles and pavers. Sealing of natural stone to ground floor, alfresco and side paths. level 1 entry deck and path, rear deck",Sub,m2,66.43,1,Benecia 2022-23 x1.17
Floor Coverings,Stair treads,Sub,Allowance,903.0,1,Hilda 2021-22 x1.29
Floor Coverings,Supply and install epoxy flake floor,Sub,each,808.7,1,Benecia 2022-23 x1.17
Floor Coverings,Supply and install new flooring,Sub,Allowance,11419.73,1,Hilda 2021-22 x1.29
Floor Coverings,Supply and install waterproof membrane,Sub,m2,25.8,1,Hilda 2021-22 x1.29
Floor Coverings,Timber floor and deck protection,Mat,ea,485.58,1,Constitution 2024-25 x1.10
Floor Coverings,"To rough sand particleboard joins & polivac to dining, lounge, kitchen & pantry on upper level",Sub,m2,11.0,1,Constitution 2024-25 x1.10
Floor Coverings,To sand and polish new blackbutt stairs treads only & 1.5m2 landing with 3 coats of commercial grade waterbase finish - stained to WALNUT colour (anti slip),Sub,Allowance,1320.0,1,Constitution 2024-25 x1.10
Floor Coverings,To sand and polish with 3 coats of commercial grade waterbase finish - stained to WALNUT colour,Sub,m2,16822.85,1,Constitution 2024-25 x1.10
Floor Coverings,"To supply and install 200UM vapour barrier & 19mm plywood to entry, media, hall, under stairs & bedroom ground floor",Sub,m2,82.5,1,Constitution 2024-25 x1.10
Floor Coverings,"To supply and install Select grade 130mm x 19mm Blackbutt glued & secret nailed to entry, hall, store, bed & media on ground & sunroom, living, bed 2 inc robe, bed 3 inc robe, master inc WIR, library, lounge dining, kitchen & pantry on upper level",Sub,m2,29828.43,1,Constitution 2024-25 x1.10
Floor Coverings,"To supply, install, sand and polish European Oak Engineered parquetry 600x120x15mm in herringbone bone pattern with one block border around the perimeter",Mat,m2,260.03,1,Benecia 2022-23 x1.17
Floor Coverings,"To supply, install, sand and polish flooring to match existing as best as possible, Excluding garage and store room",Mat,m2,63.34,1,Hilda 2021-22 x1.29
Floor Coverings,"To supply, install, sand and polish flooring to match existing as best as possible, Excluding garage and store room",Sub,m2,258.0,1,Hilda 2021-22 x1.29
"Floor Systems, Deck & Posts","""T BLADE"" STIRRUP TO ENGINEERS DETAILS",Mat,ea,110.0,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Allowance for fixings.,Mat,Allowance,57.56,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts","Allowance for primers, coatings and consumables",Mat,Allowance,94.92,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",B1 150X50 F17 HWD,Mat,lm,32.91,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",B2 150X75 F17 HWD,Mat,lm,54.97,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",DECKING SPOTTED GUM SELECT GRADE DPR 86X19,Mat,lm,1313.63,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",DELIVERY CHARGE,Sub,Allowance,198.0,5,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB1 240X45 LVL 13,Mat,lm,2751.24,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB2 240X63 LVL 13,Mat,lm,2937.59,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB3 150X63 LVL 13,Mat,lm,31.96,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB4 2/200X45 LVL 13,Mat,lm,57.64,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB5 2/240X45 LVL 13,Mat,lm,69.15,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FB6 170X45 LVL 13,Mat,lm,24.48,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",FULL HEIGHT 5.4M TP 100X100 F14 HWD POST CCA TREATED,Mat,ea,361.68,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Install Bearers and Joists - Deck,Lab,ea,76.64,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Install Timber Posts - Deck,Lab,ea,82.5,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Install bearers and joists including rim board and blocking.,Lab,Hour,73.82,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Install decking boards as per architects notes.,Lab,Hour,65.85,1,Constitution 2024-25 x1.10
"Floor Systems, Deck & Posts",Install hardwood timber posts.,Lab,Hour,72.55,1,Constitution 2024-25 x1.10
